id,mineral,tipo_eslabonamiento,etapa_proyecto,macrosector,actividad,requerimiento_o_producto,frecuencia,demanda_anual_usd_demo,participacion_catamarca_pct_demo,participacion_resto_arg_pct_demo,participacion_importada_pct_demo,empleo_local_potencial_demo,criticidad,complejidad_tecnica,capacidad_local_demo,territorio_potencial,accion_sugerida,barrera_principal,beneficio_provincial,certificaciones_referenciales,cadena_valor,fuente_conceptual,nota
11,Litio,Hacia atrás,Operación,Logística,Transporte de cargas,Transporte de insumos y producto,Mensual,11797000.0,59,39,2,185,Alta,Media,Consolidada,Tinogasta / Fiambalá,Profesionalizar flotas provinciales,Financiamiento de flota,Empleo y servicios,RTO / habilitaciones,Minería > Logística > Transporte de cargas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
12,Litio,Hacia atrás,Operación,Logística,Almacenamiento,"Depósitos, stock crítico y distribución",Mensual,3076000.0,45,44,11,55,Alta,Media,Parcial,Capital,Centro logístico regional,Infraestructura y sistemas,Eficiencia logística,ISO 9001,Minería > Logística > Almacenamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
13,Litio,Hacia atrás,Operación,Mantenimiento,Mecánica industrial,"Mantenimiento de bombas, reductores y equipos",Mensual,6504000.0,30,51,19,105,Alta,Alta,Parcial,Antofagasta de la Sierra,Talleres homologados,Equipamiento y certificación,Retención de gasto recurrente,ISO 9001 / OEM,Minería > Mantenimiento > Mecánica industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
14,Litio,Hacia atrás,Operación,Mantenimiento,Electricidad e instrumentación,"Motores, tableros, variadores e instrumentación",Mensual,5760000.0,23,36,41,74,Alta,Alta,Parcial,Tinogasta / Fiambalá,Servicios eléctricos especializados,Capacitación y stock,Capital humano,IEC / seguridad eléctrica,Minería > Mantenimiento > Electricidad e instrumentación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
15,Litio,Hacia atrás,Operación,Equipamiento,Maquinaria pesada,Repuestos y componentes críticos,Mensual,12578000.0,9,24,67,62,Alta,Muy alta,Incipiente,Capital,Hub de reparación y repuestos,Escala y acuerdos OEM,Menor parada de planta,OEM / calidad,Minería > Equipamiento > Maquinaria pesada,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
16,Litio,Hacia atrás,Operación,Industria química,Reactivos e insumos,"Reactivos, cal, ácidos, soda y consumibles",Mensual,11022000.0,10,31,59,50,Alta,Muy alta,Incipiente,Antofagasta de la Sierra,Blending/distribución o producción regional,"Escala, ambiente y tecnología",Sustitución competitiva,SDS / ISO 14001,Minería > Industria química > Reactivos e insumos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
17,Litio,Hacia atrás,Operación,Combustibles y lubricantes,Abastecimiento,"Combustibles, grasas y lubricantes",Mensual,7235000.0,27,62,11,48,Alta,Media,Parcial,Tinogasta / Fiambalá,Logística y stock provincial,Seguridad y almacenamiento,Compras locales,Normas combustibles,Minería > Combustibles y lubricantes > Abastecimiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
18,Litio,Hacia atrás,Operación,Tecnología,Automatización,"SCADA, sensores, control y analítica",Mensual,3958000.0,11,28,61,44,Alta,Muy alta,Incipiente,Capital,Integradores tecnológicos locales,Talento y homologación,Economía del conocimiento,IEC / ciberseguridad,Minería > Tecnología > Automatización,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
19,Litio,Hacia atrás,Operación,Telecomunicaciones,Conectividad,"Radio, fibra, satélite y redes privadas",Mensual,2897000.0,19,36,45,32,Alta,Alta,Incipiente,Antofagasta de la Sierra,Operadores e integradores locales,Cobertura y SLA,Conectividad territorial,Homologaciones ENACOM,Minería > Telecomunicaciones > Conectividad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
20,Litio,Hacia atrás,Operación,Seguridad y salud,Seguridad industrial,"EPP, rescate, higiene y medicina laboral",Mensual,3417000.0,40,49,11,72,Alta,Media,Parcial,Tinogasta / Fiambalá,Proveedores certificados,Homologación,Seguridad y empleo,ISO 45001,Minería > Seguridad y salud > Seguridad industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
21,Litio,Hacia atrás,Operación,Servicios generales,Catering,Alimentación de campamento,Mensual,4513000.0,73,24,3,160,Media,Baja,Consolidada,Capital,Integrar productores y PyME locales,Calidad y escala,Derrame directo,BPM / inocuidad,Minería > Servicios generales > Catering,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
22,Litio,Hacia atrás,Operación,Servicios generales,Hotelería y lavandería,"Alojamiento, limpieza y lavandería",Mensual,2566000.0,85,13,2,96,Media,Baja,Consolidada,Antofagasta de la Sierra,Expandir capacidad local,Calidad y estacionalidad,Turismo y servicios,Habilitaciones,Minería > Servicios generales > Hotelería y lavandería,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
23,Litio,Hacia atrás,Operación,Servicios profesionales,Ingeniería y confiabilidad,"Ingeniería de procesos, activos y mantenimiento",Mensual,3647000.0,19,61,20,62,Alta,Muy alta,Incipiente,Tinogasta / Fiambalá,Centro de ingeniería minera,Experiencia sectorial,Conocimiento exportable,Matrículas / ISO,Minería > Servicios profesionales > Ingeniería y confiabilidad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
24,Litio,Hacia atrás,Operación,Servicios financieros,Seguros y financiamiento,"Seguros, leasing, garantías y factoring",Mensual,2239000.0,32,62,6,25,Media,Media,Parcial,Capital,Especialización financiera minera,Conocimiento sectorial,Servicios avanzados,Regulación financiera,Minería > Servicios financieros > Seguros y financiamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
25,Litio,Hacia atrás,Operación,Ambiente,Monitoreo ambiental,"Agua, aire, biodiversidad y emisiones",Mensual,3245000.0,37,42,21,56,Alta,Alta,Parcial,Antofagasta de la Sierra,Servicios ambientales locales,Equipamiento y acreditación,Control territorial,ISO 14001 / lab,Minería > Ambiente > Monitoreo ambiental,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
26,Litio,Hacia atrás,Operación,Economía circular,Gestión de residuos,"Tratamiento, recuperación y valorización",Mensual,2690000.0,21,61,18,62,Media,Media,Parcial,Tinogasta / Fiambalá,Plantas de tratamiento regional,Escala y permisos,Nuevos negocios verdes,Permisos ambientales,Minería > Economía circular > Gestión de residuos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
27,Litio,Hacia atrás,Operación,Educación y formación,Capacitación técnica,"Formación de operadores, técnicos y mandos",Mensual,1491000.0,60,40,0,48,Media,Media,Consolidada,Capital,Programas universidad-empresa,Currícula y docentes,Capital humano,Certificación de competencias,Minería > Educación y formación > Capacitación técnica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
28,Litio,Hacia atrás,Cierre,Ambiente,Cierre y remediación,"Cierre progresivo, revegetación y monitoreo",Por proyecto,5383000.0,27,48,25,92,Alta,Alta,Parcial,Antofagasta de la Sierra,Empresas locales de cierre minero,Experiencia y garantías,Capacidad post-mina,Normativa ambiental,Minería > Ambiente > Cierre y remediación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
29,Litio,Hacia atrás,Cierre,Economía circular,Desmantelamiento,Recuperación de equipos y materiales,Por proyecto,3035000.0,38,49,13,70,Media,Media,Parcial,Tinogasta / Fiambalá,Servicios de recuperación local,Logística y valorización,Circularidad,Seguridad / ambiente,Minería > Economía circular > Desmantelamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
30,Litio,Hacia adelante,Transformación,Industria química,Purificación,Carbonato/hidróxido grado batería,Mercado potencial,18500000.0,10,42,48,90,Alta,Alta,Incipiente,Capital,Evaluar refinación/purificación local,"Energía, escala y tecnología",Mayor valor agregado,Calidad grado batería,Litio > Purificación > Carbonato/hidróxido grado batería,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
31,Litio,Hacia adelante,Transformación,Materiales avanzados,Precursores,Materiales activos y precursores catódicos,Mercado potencial,25000000.0,2,27,71,110,Alta,Muy alta,Incipiente,Tinogasta / Fiambalá,Atracción de inversión tecnológica,Tecnología/IP y escala,Transferencia tecnológica,Calidad automotriz,Litio > Precursores > Materiales activos y precursores catódicos,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
32,Litio,Hacia adelante,Transformación,Manufactura avanzada,Celdas,Fabricación/ensamble de celdas,Mercado potencial,33000000.0,3,20,77,165,Alta,Muy alta,Incipiente,Capital,Alianza tecnológica / JV,"Capital, know-how y mercado",Industrialización,IATF / seguridad batería,Litio > Celdas > Fabricación/ensamble de celdas,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
33,Litio,Hacia adelante,Transformación,Energía,BESS,Módulos y sistemas de almacenamiento,Mercado potencial,15200000.0,10,43,47,105,Media,Alta,Incipiente,Tinogasta / Fiambalá,Integración regional de BESS,Electrónica y certificación,Transición energética,IEC / UL según mercado,Litio > BESS > Módulos y sistemas de almacenamiento,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
34,Litio,Hacia adelante,Fin de vida,Economía circular,Reciclaje de baterías,Recuperación de litio y otros metales,Mercado potencial,7200000.0,2,29,69,70,Media,Muy alta,Incipiente,Capital,Centro regional de reciclaje,"Volumen, tecnología y ambiente",Circularidad,Permisos / trazabilidad,Litio > Reciclaje de baterías > Recuperación de litio y otros metales,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
35,Cobre,Hacia atrás,Exploración,Exploración y geociencias,Cartografía y modelado geológico,Servicios geológicos y modelado 3D,Por campaña,2306000.0,29,54,17,47,Alta,Alta,Parcial,Andalgalá,Desarrollar consultoría geológica local,Capital humano especializado,Conocimiento técnico,ISO 9001 / estándares QA-QC,Minería > Exploración y geociencias > Cartografía y modelado geológico,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
36,Cobre,Hacia atrás,Exploración,Exploración y geociencias,Perforación exploratoria,Perforación diamantina / RC,Por campaña,6573000.0,21,52,27,115,Alta,Alta,Parcial,Belén,Escalar perforistas y servicios auxiliares,Equipamiento y experiencia,Servicios especializados,ISO 9001 / seguridad minera,Minería > Exploración y geociencias > Perforación exploratoria,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
37,Cobre,Hacia atrás,Exploración,Laboratorios,Muestreo y ensayos,Ensayos geoquímicos y mineralógicos,Por campaña,2732000.0,26,36,38,65,Alta,Alta,Parcial,Capital,Laboratorio regional acreditado,Acreditación y equipamiento,Ciencia aplicada,ISO/IEC 17025,Minería > Laboratorios > Muestreo y ensayos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
38,Cobre,Hacia atrás,Exploración,Tecnología,Topografía y drones,"Levantamientos, fotogrametría y GIS",Por campaña,1789000.0,40,50,10,43,Media,Alta,Parcial,Andalgalá,Consolidar proveedores tecnológicos,Capacitación y homologación,Economía del conocimiento,Licencias / seguridad operacional,Minería > Tecnología > Topografía y drones,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
39,Cobre,Hacia atrás,Construcción,Construcción,Movimiento de suelos,"Caminos, plataformas y preparación de terrenos",Por proyecto,12918000.0,52,40,8,196,Alta,Media,Parcial,Belén,Escalar contratistas locales,Flota y capital de trabajo,Empleo territorial,ISO 9001 / seguridad,Minería > Construcción > Movimiento de suelos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
40,Cobre,Hacia atrás,Construcción,Construcción,Obras civiles,"Hormigón, fundaciones y edificios industriales",Por proyecto,15378000.0,46,46,8,223,Alta,Media,Parcial,Capital,Desarrollar capacidad EPC local,Escala y antecedentes,Capital físico,ISO 9001,Minería > Construcción > Obras civiles,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
41,Cobre,Hacia atrás,Construcción,Metalmecánica,Estructuras metálicas,"Piping, calderería y estructuras",Por proyecto,11627000.0,19,49,32,169,Alta,Alta,Incipiente,Andalgalá,Cluster metalmecánico provincial,Certificación de soldadura,Industrialización,AWS / ASME / ISO 3834,Minería > Metalmecánica > Estructuras metálicas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
42,Cobre,Hacia atrás,Construcción,Energía,Infraestructura eléctrica,"Subestaciones, líneas, tableros y generación",Por proyecto,14400000.0,16,48,36,122,Alta,Muy alta,Incipiente,Belén,Integradores eléctricos locales,Ingeniería y certificaciones,Capacidad energética,IEC / IRAM,Minería > Energía > Infraestructura eléctrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
43,Cobre,Hacia atrás,Construcción,Agua,Infraestructura hídrica,"Bombas, válvulas, cañerías y plantas",Por proyecto,8609000.0,24,49,27,92,Alta,Alta,Parcial,Capital,Servicios hidráulicos regionales,Stock y soporte técnico,Infraestructura crítica,ISO / normas de presión,Minería > Agua > Infraestructura hídrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
44,Cobre,Hacia atrás,Construcción,Campamentos,Infraestructura modular,"Módulos, mobiliario e instalaciones temporales",Por proyecto,5117000.0,37,43,20,108,Media,Media,Parcial,Andalgalá,Fabricación/ensamble local,Escala productiva,Construcción local,Normas construcción / seguridad,Minería > Campamentos > Infraestructura modular,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
45,Cobre,Hacia atrás,Operación,Logística,Transporte de cargas,Transporte de insumos y producto,Mensual,15790000.0,56,42,2,250,Alta,Media,Consolidada,Belén,Profesionalizar flotas provinciales,Financiamiento de flota,Empleo y servicios,RTO / habilitaciones,Minería > Logística > Transporte de cargas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
46,Cobre,Hacia atrás,Operación,Logística,Almacenamiento,"Depósitos, stock crítico y distribución",Mensual,4800000.0,50,44,6,74,Alta,Media,Parcial,Capital,Centro logístico regional,Infraestructura y sistemas,Eficiencia logística,ISO 9001,Minería > Logística > Almacenamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
47,Cobre,Hacia atrás,Operación,Mantenimiento,Mecánica industrial,"Mantenimiento de bombas, reductores y equipos",Mensual,9619000.0,37,38,25,142,Alta,Alta,Parcial,Andalgalá,Talleres homologados,Equipamiento y certificación,Retención de gasto recurrente,ISO 9001 / OEM,Minería > Mantenimiento > Mecánica industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
48,Cobre,Hacia atrás,Operación,Mantenimiento,Electricidad e instrumentación,"Motores, tableros, variadores e instrumentación",Mensual,7375000.0,22,44,34,100,Alta,Alta,Parcial,Belén,Servicios eléctricos especializados,Capacitación y stock,Capital humano,IEC / seguridad eléctrica,Minería > Mantenimiento > Electricidad e instrumentación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
49,Cobre,Hacia atrás,Operación,Equipamiento,Maquinaria pesada,Repuestos y componentes críticos,Mensual,17203000.0,10,30,60,84,Alta,Muy alta,Incipiente,Capital,Hub de reparación y repuestos,Escala y acuerdos OEM,Menor parada de planta,OEM / calidad,Minería > Equipamiento > Maquinaria pesada,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
50,Cobre,Hacia atrás,Operación,Industria química,Reactivos e insumos,"Reactivos, cal, ácidos, soda y consumibles",Mensual,13497000.0,6,33,61,68,Alta,Muy alta,Incipiente,Andalgalá,Blending/distribución o producción regional,"Escala, ambiente y tecnología",Sustitución competitiva,SDS / ISO 14001,Minería > Industria química > Reactivos e insumos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
51,Cobre,Hacia atrás,Operación,Combustibles y lubricantes,Abastecimiento,"Combustibles, grasas y lubricantes",Mensual,9428000.0,30,62,8,65,Alta,Media,Parcial,Belén,Logística y stock provincial,Seguridad y almacenamiento,Compras locales,Normas combustibles,Minería > Combustibles y lubricantes > Abastecimiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
52,Cobre,Hacia atrás,Operación,Tecnología,Automatización,"SCADA, sensores, control y analítica",Mensual,5373000.0,9,30,61,59,Alta,Muy alta,Incipiente,Capital,Integradores tecnológicos locales,Talento y homologación,Economía del conocimiento,IEC / ciberseguridad,Minería > Tecnología > Automatización,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
53,Cobre,Hacia atrás,Operación,Telecomunicaciones,Conectividad,"Radio, fibra, satélite y redes privadas",Mensual,3541000.0,19,43,38,43,Alta,Alta,Incipiente,Andalgalá,Operadores e integradores locales,Cobertura y SLA,Conectividad territorial,Homologaciones ENACOM,Minería > Telecomunicaciones > Conectividad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
54,Cobre,Hacia atrás,Operación,Seguridad y salud,Seguridad industrial,"EPP, rescate, higiene y medicina laboral",Mensual,4359000.0,42,42,16,97,Alta,Media,Parcial,Belén,Proveedores certificados,Homologación,Seguridad y empleo,ISO 45001,Minería > Seguridad y salud > Seguridad industrial,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
55,Cobre,Hacia atrás,Operación,Servicios generales,Catering,Alimentación de campamento,Mensual,5563000.0,75,22,3,216,Media,Baja,Consolidada,Capital,Integrar productores y PyME locales,Calidad y escala,Derrame directo,BPM / inocuidad,Minería > Servicios generales > Catering,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
56,Cobre,Hacia atrás,Operación,Servicios generales,Hotelería y lavandería,"Alojamiento, limpieza y lavandería",Mensual,3873000.0,85,15,0,130,Media,Baja,Consolidada,Andalgalá,Expandir capacidad local,Calidad y estacionalidad,Turismo y servicios,Habilitaciones,Minería > Servicios generales > Hotelería y lavandería,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
57,Cobre,Hacia atrás,Operación,Servicios profesionales,Ingeniería y confiabilidad,"Ingeniería de procesos, activos y mantenimiento",Mensual,5024000.0,25,56,19,84,Alta,Muy alta,Parcial,Belén,Centro de ingeniería minera,Experiencia sectorial,Conocimiento exportable,Matrículas / ISO,Minería > Servicios profesionales > Ingeniería y confiabilidad,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
58,Cobre,Hacia atrás,Operación,Servicios financieros,Seguros y financiamiento,"Seguros, leasing, garantías y factoring",Mensual,2956000.0,31,67,2,34,Media,Media,Parcial,Capital,Especialización financiera minera,Conocimiento sectorial,Servicios avanzados,Regulación financiera,Minería > Servicios financieros > Seguros y financiamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
59,Cobre,Hacia atrás,Operación,Ambiente,Monitoreo ambiental,"Agua, aire, biodiversidad y emisiones",Mensual,3828000.0,35,47,18,76,Alta,Alta,Parcial,Andalgalá,Servicios ambientales locales,Equipamiento y acreditación,Control territorial,ISO 14001 / lab,Minería > Ambiente > Monitoreo ambiental,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
60,Cobre,Hacia atrás,Operación,Economía circular,Gestión de residuos,"Tratamiento, recuperación y valorización",Mensual,4029000.0,22,56,22,84,Media,Media,Parcial,Belén,Plantas de tratamiento regional,Escala y permisos,Nuevos negocios verdes,Permisos ambientales,Minería > Economía circular > Gestión de residuos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
61,Cobre,Hacia atrás,Operación,Educación y formación,Capacitación técnica,"Formación de operadores, técnicos y mandos",Mensual,1793000.0,67,30,3,65,Media,Media,Consolidada,Capital,Programas universidad-empresa,Currícula y docentes,Capital humano,Certificación de competencias,Minería > Educación y formación > Capacitación técnica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
62,Cobre,Hacia atrás,Cierre,Ambiente,Cierre y remediación,"Cierre progresivo, revegetación y monitoreo",Por proyecto,6301000.0,31,51,18,124,Alta,Alta,Parcial,Andalgalá,Empresas locales de cierre minero,Experiencia y garantías,Capacidad post-mina,Normativa ambiental,Minería > Ambiente > Cierre y remediación,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
63,Cobre,Hacia atrás,Cierre,Economía circular,Desmantelamiento,Recuperación de equipos y materiales,Por proyecto,4588000.0,36,55,9,94,Media,Media,Parcial,Belén,Servicios de recuperación local,Logística y valorización,Circularidad,Seguridad / ambiente,Minería > Economía circular > Desmantelamiento,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
64,Cobre,Hacia adelante,Transformación,Procesamiento mineral,Concentración,Concentrado de cobre,Mercado potencial,41850000.0,18,49,33,169,Alta,Muy alta,Incipiente,Capital,Maximizar procesamiento local,"Agua, energía y escala",Valor agregado inicial,Especificaciones comerciales,Cobre > Concentración > Concentrado de cobre,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
65,Cobre,Hacia adelante,Transformación,Metalurgia,Fundición/refinación,Cátodos de cobre,Mercado potencial,60750000.0,1,22,77,263,Alta,Muy alta,Incipiente,Belén,Estudio de factibilidad metalúrgica,"Energía, ambiente y escala",Salto industrial,LME / calidad,Cobre > Fundición/refinación > Cátodos de cobre,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
66,Cobre,Hacia adelante,Transformación,Metalmecánica,Semielaborados,Alambrón y conductores,Mercado potencial,35100000.0,3,28,69,213,Media,Alta,Incipiente,Capital,Atracción de fabricante,Escala y mercado,Industria eléctrica,Normas eléctricas,Cobre > Semielaborados > Alambrón y conductores,Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
67,Cobre,Hacia adelante,Transformación,Industria eléctrica,Componentes,"Barras, conectores y piezas eléctricas",Mercado potencial,17550000.0,5,40,55,148,Media,Alta,Incipiente,Belén,PyME industrial especializada,Calidad y diseño,Diversificación manufacturera,IRAM / IEC,"Cobre > Componentes > Barras, conectores y piezas eléctricas",Cadena de valor demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
